HP:0004015	橈骨骨幹端の異常
HP:0100161	第3趾基節骨骨端の断片化
HP:0100160	第3趾基節骨の拡大した骨端
HP:0100165	小さい第3趾基節骨骨端
HP:0100164	第3趾基節骨偽骨端
HP:0100163	第3趾基節骨象牙骨端
HP:0100162	不規則な第3趾基節骨骨端
HP:0100169	第4趾末節骨骨端欠損
HP:0100168	骨端の断片化
HP:0002818	橈骨の異常
HP:0100167	第3趾基節骨の三角形骨端
HP:0002817	上肢の異常
HP:0100166	第3趾基節骨骨端の点状石灰化
HP:0002816	反張膝
HP:0002815	膝の異常
HP:0002814	下肢の異常
HP:0005084	前方橈骨頭脱臼
HP:0002813	四肢骨形態の異常
HP:0002812	内反股
HP:0005085	膝屈曲/伸展制限
HP:0005086	膝骨関節炎
HP:0002810	ダンベル型骨幹端
HP:0005089	骨幹端骨梁異常
HP:0100172	第4趾末節骨の拡大した骨端
HP:0100171	第4趾末節骨骨端の円錐骨端
HP:0100170	第4趾末節骨骨端ブラケット
HP:0100176	第4趾末節骨偽骨端
HP:0100175	第4趾末節骨象牙骨端
HP:0100174	不規則な第4趾末節骨骨端
HP:0100173	第4趾末節骨骨端の断片化
HP:0100179	第4趾末節骨の三角形骨端
HP:0005090	外側への大腿骨湾曲
HP:0002829	関節痛
HP:0100178	第4趾末節骨骨端の点状石灰化
HP:0100177	小さい第4趾末節骨骨端
HP:0002828	多発性関節拘縮
HP:0005092	線状骨幹端硬化症
HP:0002827	股関節脱臼
HP:0002826	鉾槍型骨盤
HP:0005093	近位橈骨骨端欠損
HP:0002825	尾部付属器
HP:0002823	大腿骨の異常
HP:0005096	遠位大腿骨湾曲
HP:0002822	大腿骨転子過形成
HP:0002821	ニューロパチー性関節症
HP:0005099	重度胎児水腫
HP:0100103	第2趾末節骨の拡大した骨端
HP:0100102	第2趾末節骨骨端の円錐骨端
HP:0100101	第2趾末節骨骨端ブラケット
HP:0100100	第2趾末節骨骨端欠損
HP:0006391	長管骨の過剰管状化
HP:0100107	第2趾末節骨偽骨端
HP:0006390	前方脛骨湾曲
HP:0100106	第2趾末節骨象牙骨端
HP:0005060	肘屈曲/伸展制限
HP:0100105	不規則な第2趾末節骨骨端
HP:0100104	第2趾末節骨骨端の断片化
HP:0006392	長管骨濃度の増加
HP:0005063	断片化した不規則な骨端
HP:0006394	前弯回内/回外制限
HP:0006397	膝蓋骨の外側位置異常
HP:0100109	第2趾末節骨骨端の点状石灰化
HP:0100108	小さい第2趾末節骨骨端
HP:0005066	骨幹端内で癒合した円錐骨端
HP:0005067	近位腓骨過成長
HP:0005068	茎状突起欠損
HP:0006398	平坦な遠位大腿骨骨端
HP:0005069	四肢近位-中部-肢端性四肢短縮
HP:0100110	第2趾末節骨の三角形骨端
HP:0100114	第2趾中節骨の拡大した骨端
HP:0100113	第2趾中節骨骨端の円錐骨端
HP:0002808	後弯
HP:0100112	第2趾中節骨骨端ブラケット
HP:0100111	第2趾中節骨骨端欠損
HP:0005070	近位橈骨頭脱臼
HP:0100118	第2趾中節骨偽骨端
HP:0002805	思春期以後の骨年齢促進
HP:0100117	第2趾中節骨象牙骨端
HP:0002804	先天性多発性関節拘縮
HP:0005072	手関節過伸展
HP:0002803	先天性関節拘縮
HP:0100116	不規則な第2趾中節骨骨端
HP:0100115	第2趾中節骨骨端の断片化
HP:0100119	小さい第2趾中節骨骨端
HP:0100121	第2趾中節骨の三角形骨端
HP:0100120	第2趾中節骨骨端の点状石灰化
HP:0100125	第2趾基節骨の拡大した骨端
HP:0100124	第2趾基節骨骨端の円錐骨端
HP:0100123	第2趾基節骨骨端ブラケット
HP:0100122	第2趾基節骨骨端欠損
HP:0100129	第2趾基節骨偽骨端
HP:0100128	第2趾基節骨象牙骨端
HP:0006371	幅広い長管骨骨幹
HP:0100127	不規則な第2趾基節骨骨端
HP:0006370	遠位尺骨骨端の点状石灰化
HP:0100126	第2趾基節骨骨端の断片化
HP:0005041	不規則な大腿骨骨頭骨端
HP:0005042	不規則なくる病様骨幹端
HP:0006375	ダンベル型大腿骨
HP:0005043	不規則な近位上腕骨骨幹端
HP:0005045	骨幹皮質硬化
HP:0006376	肘屈曲制限
HP:0006379	近位脛骨低形成
HP:0005048	手根骨癒合症
HP:0006378	骨融解 (膝蓋骨)
HP:0100132	第2趾基節骨の三角形骨端
HP:0100131	第2趾基節骨骨端の点状石灰化
HP:0100130	小さい第2趾基節骨骨端
HP:0100136	第3趾末節骨骨端ブラケット
HP:0100135	第3趾末節骨骨端欠損
HP:0100134	腋毛の異常
HP:0100133	恥毛の異常
HP:0006380	膝屈曲拘縮
HP:0100139	第3趾末節骨骨端の断片化
HP:0005050	前外方橈骨頭脱臼
HP:0100138	第3趾末節骨の拡大した骨端
HP:0100137	第3趾末節骨骨端の円錐骨端
HP:0006381	痕跡的腓骨
HP:0006384	棍棒型遠位大腿骨
HP:0006383	進行性長管骨湾曲
HP:0005054	骨幹端棘
HP:0006386	遠位橈骨骨端低形成
HP:0006385	短い下肢
HP:0006387	幅広い遠位大腿骨骨幹端
HP:0006389	膝屈曲制限
HP:0005059	関節痛/関節炎
HP:0005028	幅広い近位脛骨骨幹端
HP:0006358	しゃべる型上顎門歯
HP:0007680	脱色素性眼底
HP:0006350	歯髄腔閉塞
HP:0006353	歯胚低形成
HP:0005021	両側性肘脱臼
HP:0006352	永久歯萌出不全
HP:0006355	下顎門歯無発生
HP:0007686	瞳孔機能の異常
HP:0007685	末梢網膜無血管化
HP:0006357	早発性永久歯喪失
HP:0005025	遠位上腕骨低形成
HP:0007688	ERGでの杆体および錐体仲介性反応の欠損
HP:0005026	四肢中部短縮/四肢近位短縮性四肢短縮
HP:0007687	片側性眼瞼下垂
HP:0006369	不規則な膝蓋骨
HP:0005039	多発性長管骨外骨症
HP:0007691	短いカールした睫毛
HP:0007690	角膜上皮基底膜ジストロフィー（map-dot-fingerprint 型）
HP:0006362	上腕骨頸部の内反変形
HP:0006361	不規則な大腿骨骨端
HP:0007692	非核多形性先天性白内障
HP:0007695	瞳孔対光反射の異常
HP:0005033	遠位尺骨低形成
HP:0006366	長内転筋拘縮
HP:0007697	下眼瞼低形成
HP:0005035	趾の全趾骨の短縮
HP:0006368	前腕減数奇形
HP:0005036	片側性尺骨低形成
HP:0007698	網膜色素上皮萎縮
HP:0005037	近位橈骨-尺骨癒合
HP:0006367	皺のよった長管骨
HP:0007668	追視開始と維持の障害
HP:0005005	出生時にみられ時間とともに真っすぐなる大腿骨湾曲
HP:0006337	早発性永久歯萌出
HP:0007667	嚢胞性網膜変性
HP:0006336	短い歯根
HP:0008998	胸筋低形成
HP:0006339	円錐型下顎切歯
HP:0006338	下顎小臼歯奇形
HP:0005008	大関の脱臼
HP:0005009	ダンベル型上腕骨
HP:0008993	腹内脂肪の増加
HP:0008991	運動誘発性下肢けいれん
HP:0006330	回転した上顎門歯
HP:0007661	脈絡膜網膜の低色素と高色素
HP:0006333	混雑した上顎切歯
HP:0005001	反復性膝蓋骨脱臼
HP:0008997	上肢の近位筋虚弱
HP:0006332	過剰な上顎切歯
HP:0007663	中心視力減少
HP:0006335	乳歯遺残
HP:0005003	大腿骨骨頭骨端無形成/低形成
HP:0008994	下肢の近位筋虚弱
HP:0005004	平坦な近位橈骨骨端
HP:0006334	乳歯低形成
HP:0007665	カールした睫毛
HP:0006347	乳歯の小歯
HP:0007678	涙管狭窄
HP:0005017	多関節性軟骨石灰症
HP:0006349	永久歯無発生
HP:0005019	骨幹の肥厚
HP:0007670	異常な前庭眼球反射
HP:0006342	杭状上顎側切歯
HP:0005010	治癒の遅い骨折による切断となる骨髄炎
HP:0005011	四肢中部短縮性腕短縮
HP:0007675	進行性夜盲症
HP:0006344	永久歯臼歯形態の異常
HP:0005013	遠位橈骨骨端異形成
HP:0007677	卵黄型黄斑症
HP:0006346	スクリュードライバー型切歯
HP:0007676	虹彩低形成
HP:0007646	下睫毛欠損
HP:0006315	単一正中上顎切歯
HP:0008978	壊死性ミオパチー
HP:0007648	点状白内障
HP:0006316	不規則な歯間
HP:0007647	先天性外眼筋奇形
HP:0007649	先天性網膜色素上皮肥大
HP:0008970	肩甲骨上腕骨筋ジストロフィー
HP:0006311	全般性小歯
HP:0007642	先天性停止性夜盲症
HP:0007641	色弱
HP:0008972	ミトコンドリア呼吸鎖活性の減少
HP:0006313	乳歯間隔離
HP:0007643	末梢牽引性網膜剥離
HP:0006326	ムコ多糖体に包まれた埋没歯
HP:0007657	びまん性核白内障
HP:0007656	涙腺無形成
HP:0007659	ばらつきを伴う網膜色素減少
HP:0007658	大きな抗色素性網膜斑
HP:0008988	骨盤帯筋筋萎縮
HP:0006329	歯槽突起低形成
HP:0008981	腓腹筋肥大
HP:0007651	下眼瞼外反
HP:0007650	進行性眼筋麻痺
HP:0008985	筋内脂肪の増加
HP:0008986	横隔膜無発生
HP:0006321	多発性永久歯非萌出
HP:0007655	下眼瞼外側1/3の外反
HP:0006323	早発性乳歯喪失
HP:0007654	網膜線状
HP:0008984	頸部筋低形成
HP:0008956	近位下肢筋萎縮
HP:0007623	太陽を浴びた皮膚の色素異常
HP:0008954	手固有筋萎縮
HP:0007626	下顎骨髄炎
HP:0008955	進行性遠位筋萎縮
HP:0007628	下顎顆低形成
HP:0007627	下顎顆無形成
HP:0008959	遠位上肢筋虚弱
HP:0008952	肩筋低形成
HP:0007620	皮膚横紋筋腫
HP:0008953	大胸筋低形成
HP:0007621	伸展筋表面の毛細血管拡張
HP:0008967	運動誘発性筋硬直
HP:0006304	切歯間隔離
HP:0008968	下肢筋肥大
HP:0007634	非動脈性前部虚血性視神経ニューロパチー
HP:0006308	歯槽隆起萎縮
HP:0008969	下肢筋硬直
HP:0008963	脛骨筋虚弱
HP:0008964	非進行性筋萎縮
HP:0006302	短刀型歯髄石灰化
HP:0007633	両側性小眼球
HP:0008962	腓腹筋低形成
HP:0007602	複雑な手掌皮膚紋理パターン
HP:0008935	全身性新生児筋緊張低下
HP:0007601	正中顔面毛細血管腫
HP:0007603	太陽にあたった領域の色素斑
HP:0007606	多発性皮膚悪性疾患
HP:0007605	手掌皮膚の過剰な皺
HP:0008936	体幹の筋緊張低下
HP:0007608	手掌皮膚紋理異常
HP:0007607	源慣性外胚葉形成不全
HP:0007609	低タンパク血症性浮腫
HP:0012199	群発(性)頭痛.
HP:0012196	Cheyne-Stokes 呼吸
HP:0012195	不規則な呼吸
HP:0012198	若年性結腸ポリープ症
HP:0012197	インスリノーマ
HP:0012192	皮膚T-細胞リンパ腫
HP:0012191	B-細胞リンパ腫
HP:0012194	片麻痺エピソード
HP:0012193	未分化大細胞型リンパ腫
HP:0012190	T-細胞リンパ腫
HP:0008945	早期小児期の歩行能喪失
HP:0007613	掌蹠有棘角化症
HP:0008946	骨盤帯筋筋萎縮
HP:0008944	遠位下肢筋萎縮
HP:0007617	繊細な網状の皮膚色素沈着
HP:0007616	項部の火炎状母斑
HP:0008947	乳児筋性筋緊張低下
HP:0007618	皮下石灰化
HP:0008948	近位上肢筋萎縮
HP:0008942	急性横紋筋融解
HP:0008940	全身性リンパ節腫大
HP:0007610	皮膚のしみ状色素
HP:0000196	下口唇小孔
HP:0000197	耳下腺異常
HP:0000194	開口
HP:0000193	二分した口蓋垂
HP:0000190	口腔小帯異常
HP:0008915	小児期発症体幹肥満
HP:0000191	副口腔小帯
HP:0012178	ナチュラルキラー細胞活性の減少
HP:0012177	ナチュラルキラー細胞生理の異常
HP:0012179	頭蓋顔面ジストニア
HP:0012174	多形性神経膠芽腫
HP:0012173	起立性頻拍
HP:0012176	ナチュラルキラー細胞の異常
HP:0012175	活性化タンパク Cへの抵抗性
HP:0012170	爪噛み
HP:0012172	常同的身体揺動
HP:0012171	常同的手絞り動作
HP:0000198	Stensen 管の異常
HP:0000199	舌結節
HP:0008921	新生児短い-四肢低身長
HP:0008922	小児期発症短躯低身長
HP:0008929	非対称性低身長
HP:0012189	Hodgkin リンパ腫
HP:0012188	妊娠悪阻
HP:0012185	収縮性正中神経ニューロパチー
HP:0012184	高αリポタンパク血症
HP:0012187	赤血球プロトポルフィリン濃度増加
HP:0012186	肘での尺骨神経の絞扼神経障害
HP:0012181	絞扼神経障害
HP:0012180	嚢胞性中膜壊死
HP:0040064	四肢の異常
HP:0012183	過形成性結腸ポリープ症
HP:0012182	口咽頭扁平上皮癌
HP:0000174	口蓋の異常
HP:0000175	口蓋裂
HP:0000172	口蓋垂の異常
HP:0000171	小舌
HP:0012159	内頚動脈解離
HP:0012156	血液貪食症
HP:0012155	角膜感覚減少
HP:0012158	頚動脈解離
HP:0012157	皮質下 大脳萎縮
HP:0012152	中心窩分離症
HP:0012151	血性胸郭
HP:0012154	性的冷感
HP:0012153	低トリグリセリド血症
HP:0040075	下垂体機能低下症
HP:0012150	単一系統骨髄異形成
HP:0000178	下口唇の異常
HP:0000179	分厚い下口唇唇紅部
HP:0000176	粘膜下硬口蓋裂
HP:0000177	上口唇の異常
HP:0000185	軟口蓋裂
HP:0000183	舌運動障害
HP:0008905	四肢近位短縮
HP:0000182	舌運動異常
HP:0000180	分葉舌
HP:0008909	致死性短肢低身長
HP:0012167	抜毛症
HP:0012166	皮膚ピッキング
HP:0012169	自咬症
HP:0012168	頭部強打
HP:0012163	頚動脈瘤
HP:0012162	総頚動脈解離
HP:0012165	乏指趾症
HP:0012164	羽ばたき振戦
HP:0012161	外頸動脈解離
HP:0012160	頭蓋内内頚動脈解離
HP:0000189	狭い口蓋
HP:0000187	幅広い歯槽隆起
HP:0000188	短い上口唇
HP:0000152	頭部と頸部の異常
HP:0001483	眼ポーキング
HP:0000153	口の異常
HP:0000150	性腺芽細胞腫
HP:0001482	皮下結節
HP:0000151	子宮無形成
HP:0025452	壊疽性膿皮症
HP:0001480	色素斑
HP:0012138	顆粒球過形成
HP:0012137	顆粒球前駆細胞数の異常
HP:0012139	顆粒球低形成
HP:0012134	異形成性赤血球系造血
HP:0012133	赤芽球系低形成
HP:0012136	異形成性顆粒球系造血
HP:0012135	顆粒球系細胞の異常
HP:0012130	赤血球系細胞の異常
HP:0012132	赤芽球系過形成
HP:0012131	赤血球前駆細胞数の異常
HP:0000158	巨舌
HP:0001489	硝子体剥離
HP:0000159	口唇の異常
HP:0001488	両側性眼瞼下垂
HP:0001487	低色素眼底
HP:0000157	舌の異常
HP:0000154	幅広い口
HP:0000155	口腔潰瘍
HP:0001495	手根骨融解
HP:0000163	口腔の異常
HP:0000164	歯の異常
HP:0001493	鎌型網膜ヒダ
HP:0000161	正中口唇裂
HP:0000162	舌根沈下
HP:0001492	Axenfeld 奇形
HP:0001491	先天性外眼筋線維症
HP:0000160	狭い口
HP:0012149	二系統骨髄異形成
HP:0012148	多系統骨髄異形成
HP:0012145	骨髄の多細胞系の異常
HP:0012144	単球/マクロファージ系細胞の異常
HP:0012147	Von Willebrand 因子量の減少
HP:0012146	von Willebrand 因子の異常
HP:0012140	リンパ系細胞の異常
HP:0012143	巨核球系細胞の異常
HP:0012142	扁平上皮癌
HP:0000169	歯肉線維腫症
HP:0001498	手根骨低形成
HP:0000168	歯肉の異常
HP:0000166	重度の歯周炎
HP:0002793	呼吸パターンの異常
HP:0000130	子宮異常
HP:0000131	子宮平滑筋腫
HP:0002792	肺活量減少
HP:0002791	低換気
HP:0001460	筋を含む無形成/低形成
HP:0002790	新生児呼吸調節異常
HP:0012119	メトヘモグロビン血症
HP:0012116	アルブミン値異常
HP:0012115	肝炎
HP:0012118	喉頭癌
HP:0012117	高アルブミン血症
HP:0012112	循環性コルチコステロン値異常
HP:0012111	循環性グルココルチコイド値異常
HP:0012114	子宮内膜癌
HP:0012113	クレアチン代謝の異常lism
HP:0012110	橋低形成
HP:0000138	卵巣嚢胞
HP:0001469	骨盤筋の異常
HP:0000139	子宮脱
HP:0000136	二分子宮
HP:0001468	上腕筋の無形成/低形成
HP:0000137	卵巣異常
HP:0001467	上肢筋の無形成/低形成
HP:0002797	骨融解
HP:0000134	女性性腺機能低下症 hypogonadism
HP:0000135	性腺機能低下症
HP:0001465	肩帯筋の筋萎縮
HP:0001464	肩帯筋の無形成/低形成
HP:0000132	月経痛
HP:0002795	機能的呼吸異常
HP:0000133	性腺異発生
HP:0000141	無月経
HP:0001473	中足骨骨融解
HP:0000142	膣異常
HP:0001471	骨盤筋無形成/低形成 
HP:0000140	月経周期異常
HP:0012127	ウラシール尿
HP:0012126	胃癌
HP:0012129	骨髄細胞幹細胞の異常
HP:0012128	基底核壊死
HP:0012123	後部ブドウ膜炎
HP:0012122	前部ブドウ膜炎
HP:0012125	前立腺癌
HP:0012124	中間ブドウ膜炎
HP:0012121	汎ブドウ膜炎
HP:0012120	メチルマロン酸尿
HP:0000149	卵巣生殖腺芽細胞腫
HP:0000147	多嚢胞性卵巣
HP:0000148	膣閉鎖
HP:0001477	代償性下顎上昇
HP:0000145	横断性膣中隔
HP:0025421	縦隔気腫
HP:0001476	大泉門閉鎖遅延
HP:0000143	直腸膣瘻
HP:0000144	妊孕性減少
HP:0001474	硬化性肩甲骨
HP:0001440	中足骨癒合症
HP:0000119	泌尿生殖器異常
HP:0001449	中足骨重複
HP:0002779	気管軟化症
HP:0000117	腎性リン喪失
HP:0002778	気管の異常
HP:0000114	近位腎尿細管症
HP:0001446	上肢の筋異常
HP:0002777	気管狭窄
HP:0001445	股関節帯筋の異常
HP:0000112	腎症
HP:0001443	殿筋の異常
HP:0000113	多嚢胞性腎異形成
HP:0000110	腎異形成
HP:0002773	小さい椎体骨
HP:0001441	大腿の筋異常
HP:0000111	腎傍糸球体細胞肥大/過形成
HP:0002781	上気道閉塞
HP:0002780	気管支軟化症
HP:0012109	原発性閉塞隅角緑内障
HP:0012108	原発性開放隅角緑内障
HP:0012105	後頭葉皮質萎縮
HP:0012104	頭頂葉皮質萎縮
HP:0012107	腓骨直径の増加
HP:0012106	四肢近位短縮性下肢短縮
HP:0012101	血清クレアチニン減少
HP:0012100	循環性クレアチニン値異常
HP:0012103	ミトコンドリア異常
HP:0012102	ミトコンドリア数の異常
HP:0001459	第1-3 合趾症
HP:0000127	腎性塩類喪失
HP:0002789	多呼吸
HP:0000128	腎性カリウム喪失
HP:0000125	骨盤腎
HP:0001457	上腕の筋異常
HP:0002788	反復性上気道感染症
HP:0002787	気管石灰化
HP:0000126	水腎症
HP:0000123	腎炎
HP:0002786	気管気管支軟化症
HP:0001454	上腕の異常
HP:0000124	腎尿細管機能障害
HP:0000121	腎石灰化症
HP:0000122	片側性腎無発生
HP:0002783	反復性下気道感染症
HP:0002758	骨関節炎
HP:0002757	反復性骨折
HP:0002756	病的骨折
HP:0002755	免疫不全による骨髄炎
HP:0002754	骨髄炎
HP:0002753	薄い骨皮質
HP:0001421	手の筋異常
HP:0002752	疎な骨梁
HP:0002751	後側弯
HP:0002750	骨格骨化遅延
HP:0000107	腎嚢胞
HP:0001438	腹部の異常
HP:0000108	腎皮質髄質嚢胞
HP:0000105	腎拡大
HP:0001437	下肢の筋異常
HP:0001436	足筋肉の異常
HP:0000103	多尿
HP:0001435	肩帯筋の異常
HP:0002766	比較的短い脊椎
HP:0000104	腎無発生
HP:0001433	肝脾腫
HP:0002764	軟骨の点状石灰化
HP:0002763	軟骨形態異常
HP:0002762	多発性外骨症
HP:0001430	腓腹筋の異常
HP:0000100	ネフローゼ症候群
HP:0002761	全身性関節弛緩
HP:0001409	門脈圧亢進
HP:0001408	胆管増殖
HP:0002738	前頭洞低形成
HP:0001407	肝膿瘍
HP:0002737	分厚い頭蓋底
HP:0001406	肝内胆汁うっ滞
HP:0001405	門脈周囲線維症
HP:0001404	肝細胞壊死
HP:0001403	巨大血管性脂肪肝
HP:0002733	リンパ節の異常
HP:0001402	肝細胞癌
HP:0002732	リンパ節低形成
HP:0001401	肝内胆管異発生
HP:0002731	リンパ球アポトーシス障害
HP:0001400	免疫不全による肝膿瘍
HP:0002730	慢性非感染性リンパ節腫大;
HP:0002749	骨軟化症
HP:0002748	くる病
HP:0002747	筋虚弱による呼吸不全
HP:0001414	小血管脂肪肝
HP:0002745	口腔ロイコプラキア
HP:0001413	小結節性肝硬変
HP:0002744	両側性口唇口蓋裂
HP:0002743	反復性エンテロウイルス感染症
HP:0001412	エンテロウイルス肝炎
HP:0002742	反復性クレブシエラ感染症
HP:0002741	反復性セラチア菌感染症
HP:0001410	肝機能低下
HP:0002740	反復性大腸菌感染症
HP:0100260	軸中性多指趾症
HP:0100264	近位指趾関節癒合症
HP:0100263	遠位指趾関節癒合症
HP:0100262	指趾骨癒合症
HP:0100261	腱形態異常
HP:0100268	上口唇小孔
HP:0100267	口唇小孔
HP:0100266	手根骨/足根骨癒合症
HP:0002719	反復性感染症
HP:0100265	中手骨/中足骨癒合症
HP:0002718	反復性細菌感染症
HP:0002717	副腎活動亢進
HP:0002716	リンパ節腫大
HP:0002715	免疫系の異常
HP:0100269	傍正中口唇小孔
HP:0002714	口角下垂
HP:0002711	誇張された中央舌溝
HP:0002710	交連部口唇小孔
HP:0100271	鼻詰まり発語
HP:0100270	四肢の背腹パターニングの異常
HP:0100275	びまん性小脳萎縮
HP:0100274	味覚性流涙
HP:0100273	結腸新生物
HP:0100272	鰓洞
HP:0100279	潰瘍性大腸炎
HP:0100277	耳介前皮膚小孔
HP:0002729	濾胞過形成
HP:0100276	皮膚小孔
HP:0002728	慢性粘膜皮膚カンジダ症
HP:0002726	反復性黄色ブドウ球菌感染症
HP:0002725	全身性紅斑性狼瘡
HP:0002724	反復性アスペルギルス感染症
HP:0002723	貪食細胞での殺菌的酸化 '呼吸バースト' の欠損
HP:0002722	反復性膿瘍形成
HP:0002721	免疫不全
HP:0002720	IgA欠乏症
HP:0100282	急性結腸炎
HP:0100281	慢性結腸炎
HP:0100280	Crohn 病
HP:0100285	筋電図: 神経筋伝達障害
HP:0100284	筋電図: ミオトニア放電
HP:0031258	せん妄
HP:0100283	筋電図: 安静時の連続性運動単位活動
HP:0100289	パターン反転視覚誘発電位の異常
HP:0100288	筋電図: 筋波動性放電
HP:0006290	変色した側切歯
HP:0100287	筋電図: 遅い運動伝達
HP:0006292	歯萌出異常
HP:0006291	永久歯萌出の目立つ遅延
HP:0006293	上顎門歯無発生
HP:0006298	抜歯後の遷延性出血
HP:0006297	歯エナメル質低形成
HP:0100293	筋線維肥大
HP:0100292	末梢神経アミロイドーシス
HP:0100291	中枢性身体感覚誘発電位の異常
HP:0100290	末梢神経身体感覚誘発電位の異常
HP:0100297	筋内膜結合織増加
HP:0100296	傍筋膜筋線維萎縮
HP:0100295	筋線維萎縮
HP:0100299	筋線維封入体
HP:0002708	目立つ正中口蓋 縫線
HP:0002707	口蓋毛細血管拡張
HP:0100298	虫食い筋線維
HP:0002705	高狭口蓋
HP:0002703	頭蓋骨骨化の異常
HP:0002700	大きな大孔
HP:0100220	第5趾中節骨偽骨端
HP:0100224	第5趾基節骨骨端欠損
HP:0100223	第5趾中節骨の三角形骨端
HP:0100222	第5趾中節骨骨端の点状石灰化
HP:0100221	小さい第5趾中節骨骨端
HP:0100228	第5趾基節骨骨端の断片化
HP:0006270	脾低形成
HP:0100227	第5趾基節骨の拡大した骨端
HP:0100226	第5趾基節骨骨端の円錐骨端
HP:0100225	第5趾基節骨骨端ブラケット
HP:0006274	膵β細胞減少
HP:0006273	膵リンパ管拡張
HP:0006276	高輝度エコー膵
HP:0100229	不規則な第5趾基節骨骨端
HP:0006278	異所性膵組織
HP:0006277	膵過形成
HP:0006279	β細胞機能障害
HP:0100231	第5趾基節骨偽骨端
HP:0100230	第5趾基節骨象牙骨端
HP:0100235	趾骨癒合症
HP:0100234	第5趾基節骨の三角形骨端
HP:0100233	第5趾基節骨骨端の点状石灰化
HP:0100232	小さい第5趾基節骨骨端
HP:0100238	上肢骨癒合症
HP:0006280	慢性膵炎
HP:0006283	多発性歯未萌出
HP:0100237	近位趾関節癒合症
HP:0006282	歯エナメル質全般性低形成
HP:0006285	エナメル質低ミネラル化
HP:0006286	黄褐色の歯
HP:0006289	門歯無発生
HP:0006288	歯萌出促進
HP:0100242	肉腫
HP:0100241	異所性呼吸器粘膜
HP:0100240	関節骨癒合症
HP:0100246	骨腫
HP:0100245	類腱腫
HP:0100244	線維肉腫
HP:0100243	横紋筋肉腫
HP:0100249	筋石灰化
HP:0007581	低色素の内胸骨縦線状
HP:0100248	片側バリスム
HP:0100247	反復性しゃっくり
HP:0007583	固定性発疹性毛細血管拡張斑
HP:0006252	指間(IP)関節びらん
HP:0006251	手関節伸展制限
HP:0007585	非瘢痕性水泡を伴う皮膚脆弱性
HP:0006254	α-フェトプロテイン上昇
HP:0006253	近位指間(PIP)関節腫脹
HP:0006256	手関節可動性の異常
HP:0007587	多数の色素斑
HP:0007586	大理石' 皮膚を生じる毛細血管拡張
HP:0007589	体幹又は四肢の先天性皮膚無形成
HP:0007588	網状高色素
HP:0006257	手根骨骨化の異常
HP:0100253	長管骨髄腔の異常
HP:0100252	骨幹異形成
HP:0100251	中枢神経脂肪腫
HP:0100250	髄膜石灰化
HP:0100257	欠指
HP:0100256	老人斑
HP:0100255	骨幹端異形成
HP:0100254	長管骨髄腔狭窄
HP:0007590	後部頭頂部の先天性皮膚無形成
HP:0007592	エクリン汗腺無形成/低形成
HP:0100259	軸後性多指趾症
HP:0006261	手の指節関節の異常
HP:0100258	軸前性多指趾症
HP:0006263	第2指骨端の異常
HP:0006262	第5指無形成/低形成
HP:0007596	有痛性皮下脂肪腫
HP:0006265	指の無形成/低形成
HP:0007595	乳児期の過剰な皮膚
HP:0006264	第2指無形成/低形成
HP:0006267	大きな骨盤
HP:0007598	両側性単一手掌横線
HP:0007597	先天性掌蹠角皮症
HP:0006266	小さい胎盤
HP:0007599	全身性網状褐色色素沈着
HP:0006268	変動性脾腫
HP:0007569	全身性脂漏性皮膚炎
HP:0006237	目立つ指間関節
HP:0006239	趾の全中節骨の短縮
HP:0008890	重度の短肢小人症
HP:0006230	片側性乏指趾症
HP:0007561	太陽に暴露したおよび暴露していない皮膚の毛細血管拡張
HP:0007560	皮膚紋理異常
HP:0006232	髄腔拡大を伴う手根骨拡張
HP:0008897	生後の成長遅滞
HP:0006234	骨融解 (足根骨)
HP:0007565	多発性カフェオーレ斑
HP:0006233	遠位指間(IP)関節骨関節炎
HP:0006236	細い中手骨
HP:0007566	第２指橈側蹄状紋
HP:0006248	手関節運動制限
HP:0007570	固定性レンズ豆状過角化症
HP:0007572	色素沈着性線状
HP:0007574	全身性青銅色色素沈着
HP:0006243	指趾骨脱臼
HP:0007573	遅発性アトピー性皮膚炎
HP:0007576	腫脹神経線維腫
HP:0006247	指間(IP)関節の拡大
HP:0007546	線状高色素
HP:0007549	生後すぐの皮膚落屑
HP:0007548	紅斑と落屑を伴う掌蹠角化症
HP:0006217	近位指間(IP)関節運動制限
HP:0100202	第5趾末節骨骨端欠損
HP:0100201	三角形骨端
HP:0100200	骨端の点状石灰化
HP:0100206	第5趾末節骨骨端の断片化
HP:0100205	第5趾末節骨の拡大した骨端
HP:0100204	第5趾末節骨骨端の円錐骨端
HP:0100203	第5趾末節骨骨端ブラケット
HP:0100209	第5趾末節骨偽骨端
HP:0008872	食餌摂取障害 in infancy
HP:0100208	第5趾末節骨象牙骨端
HP:0007541	前頭部皮膚脂肪腫
HP:0006210	軸後性乏指趾症
HP:0100207	不規則な第5趾末節骨骨端
HP:0007543	表皮過角化症
HP:0007542	腹側胸部皮膚欠損
HP:0008873	不均衡型短肢低身長
HP:0007545	先天性掌蹠角化症
HP:0006213	幅広い骨端を伴った細い基節骨
HP:0007544	まだら症 (パイボールディズム）
HP:0006226	大1手根骨中手骨関節骨関節炎
HP:0007559	限局性表皮過角化症
HP:0006228	外反手
HP:0100213	第5趾中節骨骨端欠損
HP:0100212	第5趾末節骨の三角形骨端
