OMIM:616033	小頭-低身長-ブドウ糖代謝異常
OMIM:212540	白内障-小頭-発育不全-後側弯症候群
OMIM:212550	視神経乳頭奇形-網膜 +/- 黄斑ジストロフィー
OMIM:212710	白内障-運動失調-難聴-精神遅滞症候群
OMIM:212720	Martsolf 症候群
OMIM:212750	セリアック病への感受性, 1
OMIM:212780	Cenani- Lenz 合指症 症候群
OMIM:212790	早期動原体分裂 (PCD)
OMIM:212800	セファリンリピドーシス
OMIM:212835	小脳性運動失調-外胚葉形成不全
OMIM:212840	Gordon Holms 症候群
OMIM:212850	小脳性運動失調-感音性難聴
OMIM:212890	小脳性運動失調, 良性-温度覚喪失
OMIM:212895	小脳性運動失調, 早期発症-腱反射保存
OMIM:213000	小脳低形成
OMIM:213002	小脳低形成-骨内膜硬化症
OMIM:213010	小脳虫部無形成+Smith-Lemli-Opitz 症候群とMeckel 症候群を思わせる症状
OMIM:213100	小脳実質疾患 II
OMIM:213200	小脳性運動失調 1 (CLA1)
OMIM:213300	Joubert 症候群1 (JBTS)
OMIM:213400	小脳実質疾患 V (CPD V)
OMIM:213500	大脳血管障害, 不快性
OMIM:213700	脳腱黄色腫症
OMIM:213820	大脳奇形-けいれん-多毛-指の重なり
OMIM:213900	大脳硬化症, Pellizaeus-Merzbacher 病類似の
OMIM:213950	大脳皮質変性, 乳児
OMIM:213980	頭蓋顔面形態異常-骨格奇形-精神遅滞症候群
OMIM:214100	ペルオキシソーム生合成異常症1A (Zellweger)
OMIM:214110	ペルオキシソーム生合成異常症2A (Zellweger)
OMIM:214150	脳眼顔骨格症候群1
OMIM:214200	セロイド蓄積症
OMIM:214290	頚椎骨無発生
OMIM:214300	Klippel-Feil 症候群2, 常染色体劣性
OMIM:214350	CHAND 症候群
OMIM:214370	ニューロパチー, 遺伝性運動知覚-難聴-精神遅滞-知覚性大髄鞘化線維欠損
OMIM:214400	Charcot-Marie-Tooth 腓骨筋萎縮 4A 型(CMT4A)
OMIM:214450	Griscelli 症候群 1 型
OMIM:214500	Chediak-Higashi 症候群
OMIM:214700	下痢症 1, 分泌性クロール, 先天性
OMIM:214800	CHARGE 症候群
OMIM:214900	胆汁うっ滞-リンパ浮腫症候群 (CHLS)
OMIM:214950	胆汁うっ滞, 肝内-トリヒドロキシポルプロスタン酸およびコール酸代謝障害
OMIM:214980	胆汁うっ滞-胆石-運動失調-視力障害
OMIM:215030	コレステロール肺炎
OMIM:215045	軟骨異形成, Blomstrand 型
OMIM:215050	骨幹端軟骨異形成, 石灰化性
OMIM:215100	四肢近位短縮性点状軟骨異形成 1 型 (RCDP1)
OMIM:215105	点状軟骨異形成症候群
OMIM:215140	Greenberg 異形成
OMIM:215250	コンドロイチン-6-硫酸尿-細胞免疫異常-ネフローゼ症候群
OMIM:215300	
OMIM:215400	
OMIM:215450	舞踏病, 家族性良性
OMIM:215470	Boucher-Neuhauser 症候群
OMIM:215480	脈絡叢石灰化-精神遅滞
OMIM:215510	染色体不安定性-組織特異性放射線感受性
OMIM:215518	繊毛運動非協調性, ランダム繊毛方向由来
OMIM:215520	繊毛運動異常, 繊毛微小管の位置異常による
OMIM:215550	有郭性胎盤症候群
OMIM:215700	シトルリン血症, 古典的
OMIM:215720	シトルリン輸送障害
OMIM:215800	喉頭裂, 後部
OMIM:215850	裂-四肢-心奇形症候群
OMIM:216100	口唇口蓋裂-母指異常-小頭
OMIM:216300	口蓋裂-難聴-乏歯症
OMIM:216330	鎖骨頭蓋骨異形成, 常劣型
OMIM:216340	Yunis-Varon 症候群
OMIM:216360	COACH 症候群
OMIM:216550	Cohen 症候群
OMIM:216700	
OMIM:216800	黄斑コロボーマ-骨格異常
OMIM:216820	コロボーマ, 眼, 常染色体劣性
OMIM:216900	色覚異常2 (ACHM2)
OMIM:216920	混合型炎症および免疫障害
OMIM:216950	補体成分-C1r 欠損症
OMIM:217000	補体成分-2 欠損症
OMIM:217080	Jalili 症候群
OMIM:217085	先天性心奇形-舌過誤腫-多合指症
OMIM:217090	プラスミノーゲン欠乏症 I 型
OMIM:217100	絞扼輪, 先天性
OMIM:217150	関節拘縮, 先天性-斜頚-悪性高体温
OMIM:217200	けいれん性疾患, 家族性, 出生前または早期発症
OMIM:217300	扁平角膜 2 (CNA2)
OMIM:217400	角膜ジストロフィー-感音性難聴 1 (CDPD1)
OMIM:217500	角膜ジストロフィー, 帯型
OMIM:217520	角膜変性, 帯状球状
OMIM:217600	角膜ジストロフィー, 中心性
OMIM:217700	角膜内皮ジストロフィー
OMIM:217800	角膜ジストロフィー, 斑点状
OMIM:217980	脳梁欠損-顔面奇形-Robin シークェンス
OMIM:217990	脳梁欠損 (ACC)
OMIM:218010	皮質盲-精神遅滞-軸後性多指症
OMIM:218030	明らかなミネラロコルチコイド過剰
OMIM:218040	Costello 症候群
OMIM:218050	けいれん, 家族性思春期
OMIM:218090	Crane-Heise 症候群
OMIM:218100	脳神経, 先天性不全麻痺
OMIM:218200	脳神経, 反復性不全麻痺
OMIM:218300	頭蓋骨幹異形成
OMIM:218340	Temtamy 症候群
OMIM:218350	頭蓋顔面異癒合症
OMIM:218400	頭蓋骨幹端異形成, 常染色体劣性型
OMIM:218450	頭蓋骨縫合早期癒合, 矢状-先天性心疾患-精神遅滞-下顎強直
OMIM:218530	頭蓋骨癒合症-頭蓋底および指趾奇形
OMIM:218550	頭蓋骨癒合症-腓骨無形成
OMIM:218600	Baller-Gerold 症候群
OMIM:218649	頭蓋骨癒合症-精神遅滞症候群（Lin and Gettig)
OMIM:218650	頭蓋骨癒合症-精神遅滞-裂症候群
OMIM:218670	頭蓋終脳異形成
OMIM:218900	Crome 症候群
OMIM:219050	停留精巣, 片側性または両側性
OMIM:219070	湾曲爪, 第4趾
OMIM:219090	下垂体腺腫4, ACTH 分泌性
OMIM:219095	皮膚日光過敏性-腸炎, 致死性
OMIM:219100	弛緩性皮膚, 常染色体劣性, I A型
OMIM:219150	弛緩性皮膚, 常染色体劣性 IIIA 型
OMIM:219200	弛緩性皮膚, 常染色体劣性, IIA 型
OMIM:219250	先天性毛細血管拡張性大理石様皮膚
OMIM:219300	脳回状皮膚-精神遅滞
OMIM:219400	チアノーゼ-肝疾患
OMIM:219500	シスタチオニン尿症
OMIM:219550	システインペプチド尿
OMIM:219600	肺嚢胞
OMIM:219700	嚢胞性線維症 (CF)
OMIM:219721	膵嚢胞性線維症- helicobacter pylori 胃炎-巨赤芽球性貧血-知能低下
OMIM:219730	脳室拡大, 嚢胞性腎疾患を伴う
OMIM:219750	シスチン症, 成人非腎症性
OMIM:219800	シスチン症, 腎症性 (CTNS)
OMIM:219900	シスチン症, 若年性発症または思春期腎症型
OMIM:220100	シスチン尿症
OMIM:220110	ミトコンドリア複合体 IV欠損症
OMIM:220111	Leigh 症候群, フランス人-カナダ人型 (LSFC)
OMIM:220120	D-グリセリン酸尿症
OMIM:220200	Dandy-Walker 症候群 (DWS)
OMIM:220210	Ritscher-Schinzel 症候群1
OMIM:220219	Dandy-Walker 奇形-精神遅滞-巨頭-近視-短末節骨
OMIM:220220	Dandy-Walker 奇形-軸後性多指症
OMIM:220290	難聴, 感音性, 常染色体劣性, 1 (DFNB1A)
OMIM:220300	難聴, 先天性-家族性ミオクローヌスてんかん
OMIM:220500	難聴-爪ジストロフィー-骨ジストロフィー-精神遅滞-けいれん症候群)
OMIM:220600	裂手/裂足奇形1-感音性難聴, 常染色体劣性 (SHFM1D)
OMIM:220900	難聴, 先天性-全白皮症
OMIM:221200	難聴-近視
OMIM:221300	難聴, 伝音性-奇形耳介
OMIM:221320	難聴, 伝音性-眼瞼下垂-骨格奇形
OMIM:221350	先天性難聴-白斑-アカラジア
OMIM:221400	難聴, 感音性-小腸の腸間膜憩室-進行性ニューロパチー
OMIM:221500	難聴, 先天性中等度感音性
OMIM:221700	難聴, 感音性-非典型的アトピー性皮膚炎
OMIM:221740	難聴-乏歯症候群
OMIM:221745	難聴, 感音性, 常染色体-ミトコンドリア型
OMIM:221750	下垂体ホルモン欠損症, 混合性, 3
OMIM:221770	多嚢胞性脂肪膜性骨異形成-硬化性白質脳症1
OMIM:221790	皮膚白質ジストロフィー
OMIM:221800	皮膚軟骨角膜ジストロフィー
OMIM:221810	皮膚骨融解症, キルギス人型
OMIM:221820	白質脳症, びまん性遺伝性-回転楕円体
OMIM:221900	第一次硝子体過形成遺残, 常染色体劣性
OMIM:221950	右胸心-特異顔貌-小眼球
OMIM:221995	尿崩症, 腎性-精神遅滞-頭蓋内石灰化
OMIM:222100	糖尿病, インスリン依存性1
OMIM:222300	Wolfram 症候群1 (WFS)
OMIM:222350	ジアミノペンタ尿症
OMIM:222400	横隔膜,ヘルニア2 (DIH2)
OMIM:222448	Donnai-Barrow 症候群
OMIM:222500	割髄症 (二分脊髄)
OMIM:222600	変形性異形成 (DD; DTD)
OMIM:222690	二塩基アミノ酸尿症 I
OMIM:222700	リジン蛋白不耐症
OMIM:222730	ジカルボキシルアミノ酸尿症
OMIM:222748	Dihydropyrimidinase欠損症
OMIM:222765	近位四肢短縮性点状軟骨異形成 2 型 (RCDP2)
OMIM:222800	赤血球増多症, 家族性, 8
OMIM:222900	二糖類不耐症 I
OMIM:223000	Lactase 欠損症, 先天性
OMIM:223100	乳糖不耐症, 成人型
OMIM:223300	播種性硬化症-ナルコレプシー
OMIM:223320	憩室, 小腸
OMIM:223330	腸憩室-ヘルニア-網膜剥離
OMIM:223340	DK-あざらし肢奇形症候群
OMIM:223350	
OMIM:223360	起立性低血圧1
OMIM:223370	Dubowitz 症候群
OMIM:223380	
OMIM:223400	十二指腸閉鎖 (家族性)
OMIM:223500	小人症, 低出生体重型-成長ホルモン不応性
OMIM:223540	小人症-精神遅滞-眼異常
OMIM:223550	小人症, 均衡型-股関節脱臼
OMIM:223800	Dyggve-Melchior-Clausen 病
OMIM:223900	遺伝性感覚および自律神経ニューロパチー III
OMIM:224000	自律神経失調様疾患
OMIM:224100	貧血, 先天性赤血球産生異常性, II 型
OMIM:224120	貧血, 先天性赤血球産生異常性, Ia型
OMIM:224230	角化異常症, 先天性, 常劣型
OMIM:224250	脱髄-黄疸
OMIM:224300	異骨硬化症
OMIM:224400	分節異常性異形成, Rolland-Desbuquois 型
OMIM:224410	分節異常性異形成, Silverman-Handmaker 型
OMIM:224500	ジストニア 2, 捻転, 2, 常染色体劣性
OMIM:224550	ジストニア-Ringbinden
OMIM:224690	Meier-Gorlin 症候群 1
OMIM:224700	Ebstein 奇形
OMIM:224750	Schopf-Schulz-Passarge 症候群
OMIM:224800	外胚葉形成不全-感音性難聴
OMIM:224900	外胚葉形成不全10B, 減汗/毛髪/歯型, 常染色体劣性)
OMIM:225000	Rosselli-Gulienetti 症候群
OMIM:225040	低汗型外胚葉形成不全-甲状腺機能低下症-脳梁欠損
OMIM:225050	外胚葉形成不全, 低汗型-甲状腺機能低下症-繊毛ジスキネジア
OMIM:225060	口唇口蓋裂-外胚葉形成不全症候群
OMIM:225100	異所性水晶体2, 単独, 常染色体劣性
OMIM:225200	異所性水晶体-異所性瞳孔
OMIM:225250	甲状腺機能低下症, 先天性, 非甲状腺腫性, 5
OMIM:225280	外胚葉形成不全-欠指-黄斑ジストロフィー症候群
OMIM:225290	欠指-多指症
OMIM:225300	裂手/裂足奇形６
OMIM:225310	Ehlers-Danlos 症候群-フィブロネクチン異常による血小板機能障害
OMIM:225320	Ehlers-Danlos 症候群, 心血管型
OMIM:225410	Ehlers-Danlos 症候群, 皮膚脆弱型
OMIM:225500	Ellis-van Creveld 症候群(EVC)
OMIM:225700	脳軟化症, 多局在性
OMIM:225740	脳症, 軸索性-壊死性ミオパチー-心筋症-白内障
OMIM:225750	Aicardi-Goutieres 症候群1
OMIM:225753	橋小脳低形成4型
OMIM:225755	脳症-頭蓋内石灰化-成長ホルモン欠損症-小頭-網膜変性
OMIM:225790	増殖性血管症および水無脳症-水頭症候群
OMIM:226000	心内膜線維弾性症 (EFE)
OMIM:226100	心内膜線維弾性症-腹部大動脈縮窄
OMIM:226110	角膜内膜ジストロフィー, 先天性遺伝性-爪低形成
OMIM:226150	腸炎
OMIM:226200	エンテロキナーゼ欠損症
OMIM:226300	補体過剰活性化-血管症性血栓症-タンパク漏失性腸症
OMIM:226350	エオジン好性筋膜炎
OMIM:226400	疣贅様表皮異形成への感受性 1
OMIM:226440	表皮水泡症, 遅発性限局性連結部-精神遅滞
OMIM:226500	神経栄養障害型表皮水泡症
OMIM:226600	栄養障害型表皮水疱症 常染色体劣性
OMIM:226650	表皮水泡症, 接合部 non-Herlitz 型
OMIM:226670	単純型表皮水泡症-筋ジストロフィー
OMIM:226700	表皮水泡症, 接合部 Herlitz 型
OMIM:226730	接合部型表皮水泡症-幽門閉鎖
OMIM:226735	表皮水泡症-横隔膜ヘルニア
OMIM:226750	Kohlschutter-Tonz 症候群
OMIM:226800	てんかん, 光誘発性-痙性両麻痺-精神遅滞
OMIM:226810	てんかん-両側性後頭部石灰化
OMIM:226850	てんかん-毛細血管拡張
OMIM:226900	骨端異形成, 多発性, 4
OMIM:226950	骨端異形成, 大腿骨骨頭-近視-難聴
OMIM:226960	骨端異形成-小頭症-眼振
OMIM:226980	骨端異形成, 多発性-早期発症糖尿病
OMIM:226985	扁平上皮異形成, ケラチン性剥脱性, 尿路
OMIM:226990	
OMIM:227000	紅斑, 尖端
OMIM:227010	アーミン表現型
OMIM:227050	一過性赤芽球減少, 小児
OMIM:227090	紅皮症, 致死性先天性
OMIM:227150	エタノラミン症
OMIM:227210	眉毛重複-皮膚過伸展性-合指症
OMIM:227250	顔面異常-後側弯-精神遅滞
OMIM:227255	顔貌異常-多発奇形
OMIM:227260	限局性顔面皮膚異形成3 Setleis 型
OMIM:227270	顔心四肢異形成, 致死性
OMIM:227280	顔心腎症候群
OMIM:227300	第5および第8因子, 混合性欠損 1 (F5F8D1)
OMIM:227310	第 V および VIII 因子, 混合性欠損-正常なタンパク C およびタンパク C 抑制因子
OMIM:227320	顔胸性器症候群
OMIM:227330	顔指趾性器症候群, 常劣型
OMIM:227400	第V因子欠損
OMIM:227500	第 VII 因子欠損症
OMIM:227600	第 X 因子欠損症
OMIM:227645	Fanconi 貧血, 相補群C (FANCC)
OMIM:227646	Fanconi 貧血, 相補群D2 (FANCD2)
OMIM:227650	Fanconi 貧血, 相補性A群(FANCA)
OMIM:227810	Fanconi-Bickel 症候群 (FBS)
OMIM:227850	Fanconi 様症候群
OMIM:228000	Farber 脂肪肉芽腫症
OMIM:228020	筋膜ジストロフィー, 先天性
OMIM:228100	脂肪変態, 内蔵
OMIM:228200	大腿骨-腓骨-尺骨症候群
OMIM:228250	大腿骨, 片側性二分-単指性欠指
OMIM:228300	低ゴナドトロピン性性腺機能低下症23, 無嗅覚なし
OMIM:228355	胎児性ヨード欠乏
OMIM:228400	家族性生涯持続発熱
OMIM:228520	線維軟骨形成症1
OMIM:228550	筋線維腫症, 乳児性, 1
OMIM:228560	線維腫症, 歯肉-特異顔貌
OMIM:228600	硝子質性線維腫症候群
OMIM:228800	多巣性線維硬化症
OMIM:228900	腓骨無形成-複合短指
OMIM:228930	腓骨無形成または低形成-大腿骨湾曲-多指症/合指症/乏指症
OMIM:228940	腓骨尺骨無形成または低形成-腎異常
OMIM:228960	Flaujeac 因子欠損症
OMIM:228980	網膜色素斑, 家族性良性
OMIM:228990	網膜色素斑, Kandori 型
OMIM:229045	巣状上皮過形成, 口腔
OMIM:229050	葉酸吸収不全, 遺伝性
OMIM:229070	低ゴナドトロピン性性腺機能低下症24, 無嗅覚なし
OMIM:229100	ホルムイミノトランスフェラーゼ欠損症
OMIM:229120	Fountain 症候群
OMIM:229230	Fraser 様症候群
OMIM:229250	フリージアへの特異性無嗅覚
OMIM:229300	Friedreich 運動失調 1 (FRDA)
OMIM:229310	Friedreich 運動失調-先天性緑内障
OMIM:229400	前頭顔鼻異形成
OMIM:229500	果糖およびガラクトース不耐症
OMIM:229600	果糖不耐症, 遺伝性
OMIM:229650	
OMIM:229700	
OMIM:229800	果糖尿
OMIM:229850	Fryns 症候群 (FRNS)
OMIM:230000	フコシドーシス
OMIM:230200	ガラクトキナーゼ欠損症
OMIM:230300	乳漏症
OMIM:230350	ガラクトースエピメラーゼ欠損症
OMIM:230400	ガラクトース血症
OMIM:230450	溶血性貧血, γ-グルタミルシステイン合成酵素欠損症
OMIM:230500	GM1-ガングリオシドーシス, I 型
OMIM:230600	GM1-ガングリオシドーシス II 型
OMIM:230650	ガングリオシドーシス III 型
OMIM:230740	GAPO 症候群
OMIM:230750	腹壁破裂
OMIM:230800	Gaucher 病 I 型 (GD I)
OMIM:230900	Gaucher 病 II 型 (GD II)
OMIM:231000	Gaucher 病 III 型 (GD III)
OMIM:231005	Gaucher 病 IIIC型
OMIM:231050	多幸小人症1
OMIM:231060	性器口蓋心症候群
OMIM:231070	骨異形成性老人性皮膚症 (GO)
OMIM:231080	German 症候群
OMIM:231090	胞状鬼胎, 反復性, 1
OMIM:231095	Ghosal 造血骨幹異形成 (GHDD)
OMIM:231100	モクロマトーシス, 新生児
OMIM:231200	Bernard-Soulier 症候群 (BSS)
OMIM:231300	緑内障 3, 原発性先天性, A
OMIM:231530	3-hydroxyacyl-CoA dehydrogenase 欠乏症
OMIM:231550	アカラジア-アジソン病-無涙症候群
OMIM:231630	
OMIM:231670	グルタル酸血症 I
OMIM:231680	多発性アシル-CoA 脱水素欠乏症 (MADD)
OMIM:231690	グルタル酸尿症 III
OMIM:231900	溶血性貧血, グルタチオン合成酵素欠損症, 赤血球による
OMIM:231950	グルタチオン尿症
OMIM:231970	臀筋欠損
OMIM:232200	グリコーゲン蓄積症 Ia
OMIM:232220	糖原病 Ib 型
OMIM:232240	グリコーゲン蓄積症 1c
OMIM:232300	グリコーゲン蓄積病 II
OMIM:232400	グリコーゲン蓄積症 III 型
OMIM:232500	グリコーゲン蓄積症 IV 型
OMIM:232600	グリコーゲン蓄積症 V 型
OMIM:232700	グリコーゲン蓄積症 VI 型
OMIM:232800	グリコーゲン蓄積症 VII 型
OMIM:232900	糖蛋白蓄積病
OMIM:233100	腎性糖尿 (GLYS1)
OMIM:233270	GOMBO症候群
OMIM:233400	Perrault 症候群1
OMIM:233420	46,XY 性逆転 7
OMIM:233430	性腺異発生, XY 型-その他の奇形
OMIM:233450	Goodpasture 症候群
OMIM:233500	
OMIM:233600	免疫不全59-低血糖
OMIM:233650	混合性免疫異常, 肉芽腫症を伴う
OMIM:233670	肉芽腫症, 好中球化学遊走能異常による
OMIM:233690	肉芽腫症, 慢性, 常染色体性シトクロム b 陰性型
OMIM:233700	肉芽腫症, 慢性, 常染色体劣性, シトクロム b 陽性型 I
OMIM:233710	肉芽腫症, 慢性, 常染色体性シトクロム b 陽性型 II (NCF2)
OMIM:233800	網膜の群性色素沈着
OMIM:233805	成長因子, 混合性障害
OMIM:233810	成長障害-小さなぽっちゃりした手足-湿疹
OMIM:233910	GTP シクロヒドラーゼ I 欠損症
OMIM:234000	第 XII 因子欠損症
OMIM:234030	毛髪異常-日光過敏症-精神遅滞
OMIM:234100	Hallermann-Streiff 症候群
OMIM:234200	神経変性-脳鉄蓄積1
OMIM:234250	Hall-Riggs 精神遅滞症候群
OMIM:234280	内反母趾-軸前性多合指症
OMIM:234300	
OMIM:234350	
OMIM:234500	Hartnup 病
OMIM:234700	心ブロック, 先天性
OMIM:234750	
OMIM:234800	血管腫症, 皮膚-合併症状
OMIM:234810	肺静脈閉塞性疾患2, 常染色体劣性
OMIM:234820	
OMIM:235000	半身過形成, 単独 (IH)
OMIM:235255	ミューラー管由来器官の持続-リンパ管拡張-軸後性多指症
OMIM:235370	溶血性貧血-赤血球の温度への感受性
OMIM:235400	溶血性尿毒症症候群, 非典型的への感受性1
OMIM:235500	ヘモジデローシス, 肺-IgA欠損
OMIM:235510	Hennekam リンパ管拡張症-リンパ浮腫症候群1
OMIM:235550	肝静脈閉塞性疾患-免疫不全
OMIM:235555	胆汁酸合成障害, 先天性, 2 (CBAS2)
OMIM:235700	溶血性貧血, 非球状赤血球性, ヘキソキナーゼ欠損症による
OMIM:235730	Mowat-Wilson 症候群
OMIM:235740	Hirschsprung 病-多指症-腎無形成-難聴
OMIM:235750	Hirschsprung 病-尺側多指症-母趾多合指症-心室中隔欠損
OMIM:235760	Hirschsprung 病-爪低形成-顔貌形態異常
OMIM:235800	ヒスチジン血症
OMIM:235830	腎細尿管異常によるヒスチジン尿
OMIM:235900	
OMIM:236000	
OMIM:236100	全前脳症1
OMIM:236110	Holzgreve 症候群
OMIM:236130	ホモカルノシン症
OMIM:236200	ホモシスチン尿症
OMIM:236250	ホモシスチン尿症, N (5, 10) -メチレンテトラヒドロ葉酸レダクターゼ欠損による
OMIM:236270	ホモシスチン尿-巨赤芽球性貧血, cblE相補型)
OMIM:236300	Hooft 病
OMIM:236400	上腕骨橈骨癒合症
OMIM:236410	上腕骨橈骨/多発性骨癒合症候群
OMIM:236450	Hutterite 脳-骨-腎異形成症候群
OMIM:236500	多核ニューロン-羊水欠損-腎異形成-小脳低形成-水無脳症
OMIM:236600	水頭症, 非症候群性, 常染色体劣性1
OMIM:236635	水頭症, 先天性 Sylvius 水道狭窄による
OMIM:236640	水頭症-合併奇形
OMIM:236660	水頭症-高身長-関節弛緩性-後側弯
OMIM:236670	筋ジストロフィー-ジストログリカン症 (先天性で脳眼奇形を伴う), A型, 1 (MDDGA1)
OMIM:236680	Hydrolethalus 症候群1
OMIM:236690	水頭症, 正常圧
OMIM:236700	水子宮膣症候群
OMIM:236730	尿路顔症候群1
OMIM:236750	胎児水腫, 非免疫型
OMIM:236792	L-2-水酸化グルタール酸尿症
OMIM:236795	3-水酸化酪酸尿症
OMIM:236800	ヒドロキシキヌレニン尿症
OMIM:236900	ヒドロキシリジン尿症
OMIM:237000	ヒドロキシプロリン血症
OMIM:237100	処女膜閉鎖
OMIM:237300	高アンモニア血症, カルバモイルリン酸合成酵素欠損による (CPS1)
OMIM:237310	高アンモニア血症, N-アセチルグルタミン酸合成酵素欠損症 (NAGS)
OMIM:237400	高βアラニン血症
OMIM:237450	高ビリルビン血症, Rotor 型
OMIM:237500	Dubin-Johnson 症候群
OMIM:237550	高ビリルビン血症, 抱合性, III 型
OMIM:237800	高ビリルビン血症, シャント, 原発性
OMIM:237900	高ビリルビン血症, 一過性家族性新生児
OMIM:238320	Leydig 細胞低形成 I 型
OMIM:238340	高ロイシン-イソロイシン尿症
OMIM:238350	ハイパレクシア (読字過剰)
OMIM:238600	高リポ蛋白血症 I 型
OMIM:238700	高リジン血症 I 型
OMIM:238710	高リジン血症, リジンのミトコンドリアへの輸送障害による
OMIM:238750	高リジン血症-高アンモニア血症
OMIM:238800	代謝亢進, ミトコンドリア異常による
OMIM:238950	遠視, 高度
OMIM:238970	高オルニチン血症-高アンモニア血症-ホモシトルリン尿症候群
OMIM:239000	骨ページェット病5, 若年性
OMIM:239100	全身性骨皮質性骨化過剰症
OMIM:239199	副甲状腺機能亢進症, 新生児自己限定性原発性-高カルシウム尿症
OMIM:239200	副甲状腺機能亢進症, 新生児重症
OMIM:239300	高ホスファターゼ症-精神遅滞症候群1
OMIM:239350	高リン血症-多尿-痙攣
OMIM:239500	高プロリン血症 I 型
OMIM:239510	高プロリン血症 II 型
OMIM:239710	肢端前頭顔鼻異骨症, 重症型
OMIM:239711	両眼開離- ファロー四徴症
OMIM:239800	両眼開離-小耳-顔面裂-伝音性難聴
OMIM:239840	多毛, 先天性前頚部-末梢性感覚および運動性ニューロパチー
OMIM:239850	Cantu 症候群
OMIM:239900	肥大性ニューロパチー-白内障
OMIM:240000	乳児高尿酸血症-行動異常-ヒポキサンチン (グアニン) ホスホリボシルトランスフェラーゼ正常
OMIM:240150	高ビタミンA症感受性
OMIM:240200	副腎皮質機能低下, 家族性
OMIM:240300	自己免疫性多分泌症候群 I 型
OMIM:240400	低アスコルビン酸血症
OMIM:240500	分類不能型免疫不全症2
OMIM:240600	グリコーゲン蓄積症0
OMIM:240800	低血糖, ロイシン誘発性
OMIM:240900	低インスリン血症性低血糖-半身肥大
OMIM:240950	性腺機能低下症-白内障症候群
OMIM:241000	性腺機能低下症-軽度の精神遅滞-小頭
OMIM:241080	Woodhouse-Sakati 症候群
OMIM:241090	性腺機能低下症, 原発性-部分禿頭
OMIM:241100	性腺機能低下症, 男性
OMIM:241120	低汗-手掌皮膚紋理異常
OMIM:241150	低カリウム血症性アルカロージス, 家族性-特異的腎尿細管障害
OMIM:241200	Bartter 症候群2型, 出生前
OMIM:241310	下顎低形成性顔頭蓋異骨症
OMIM:241410	副甲状腺機能低下症-遅滞-形態異常症候群 (HRD)
OMIM:241500	低ホスファターゼ症, 乳児
OMIM:241510	低ホスファターゼ症, 小児
OMIM:241519	腎性低リン酸血症-脳内石灰化
OMIM:241520	低リン血症性くる病, 常染色体劣性, 1
OMIM:241530	低リン血症性くる病-高カルシウム尿症, 遺伝性
OMIM:241540	下垂体機能低下症, 先天性-中枢性尿崩症
OMIM:241550	左心低形成症候群 1
OMIM:241600	免疫不全43
OMIM:241760	尿道下裂-精神遅滞症候群
OMIM:241800	視床下部過誤腫
OMIM:241850	甲状腺機能低下症, 甲状腺性または無甲状腺性-針金状の毛髪-口蓋裂
OMIM:242050	低尿酸血症-高カルシウム尿-骨粗鬆症
OMIM:242100	魚鱗癬, 先天性, 常染色体劣性2
OMIM:242150	魚鱗癬様紅皮症, 非典型的-角膜病変-難聴
OMIM:242300	魚鱗癬, 先天性, 常染色体劣性 1
OMIM:242400	魚鱗癬, 先天性-胆管閉鎖
OMIM:242500	魚鱗癬, 先天性, 常染色体劣性4B
OMIM:242510	魚鱗癬-禿頭-口唇外反-眼瞼外反-精神遅滞
OMIM:242520	魚鱗癬-肝脾腫-小脳変性
OMIM:242530	魚鱗癬-精神遅滞-小人症-腎障害
OMIM:242550	魚鱗癬-裂毛-アミノ酸尿
OMIM:242600	イミノグリシン尿症
OMIM:242670	線毛機能不全症候群, 放射状スポークの異常による
OMIM:242680	線毛機能不全症候群, 過剰に長い繊毛による
OMIM:242700	免疫不全, 胸腺欠損による
OMIM:242840	Vici 症候群
OMIM:242850	免疫不全症
OMIM:242860	免疫不全-動原体不安定性-顔面奇形症候群 1
OMIM:242870	免疫不全, 部分的複合型-HLA 決定因子およびβ2ミクログロブリン欠損リンパ球
OMIM:242880	リンパ赤芽球低形成
OMIM:242890	免疫グロブリンD低値, 血漿
OMIM:242900	Schimke 免疫骨異形成
OMIM:243000	無痛覚症, 先天性, 常染色体劣性
OMIM:243050	インドリルアクロイルグリシン血症-精神遅滞
OMIM:243060	精子形成不全　5
OMIM:243080	イノシンフォスフォリラーゼ欠損症による免疫不全
OMIM:243100	内頚動脈低形成
OMIM:243110	インターロイキン1 へのT 細胞反応性
OMIM:243150	胃腸管奇形-免疫不全症候群
OMIM:243180	腸偽性閉塞, 神経疾患による
OMIM:243185	偽腸閉塞-PDA-魔歯
OMIM:243200	頭蓋内高血圧, 本態性
OMIM:243300	胆汁うっ滞, 良性反復性肝内
OMIM:243310	Baraitser-Winter 症候群 1
OMIM:243320	内因子と結合因子, 混合性先天性欠損症
OMIM:243400	
OMIM:243440	イソトレチノイン胎芽病様症候群
OMIM:243450	無嗅覚, イソ吉草酸
OMIM:243500	イソ吉草酸血症 (IVA)
OMIM:243600	空腸閉鎖
OMIM:616369	
OMIM:243700	高 IgE 性反復性感染症候群, 常染色体劣性
OMIM:243800	Johanson-Blizzard 症候群
OMIM:243910	有馬症候群
OMIM:244100	襲いかかる Maine のフランス人
OMIM:244200	低ゴナドトロピン性性腺機能低下症3 +/- 無嗅覚症
OMIM:244300	Kapur-Toriello 症候群
OMIM:244400	繊毛ジスキネジア, 原発性, 1 (CILD1)
